en_tok,de_tok
you should try not to do things that annoy others .,"sie sollten sich bemühen , nichts zu tun , was andere nervt ."
i think we did a very good job .,"ich denke , wir haben eine sehr gute arbeit gemacht ."
tom is repairing his car .,tom setzt seinen wagen instand .
do you have a solution ?,hast du eine lösung ?
how much have you invested so far ?,wieviel hast du schon investiert ?
i appreciate your directness .,ich schätze eure direktheit .
one has to be vigilant in these troubled times .,in diesen unruhigen zeiten muss man wachsam sein .
i hope you are all well .,"ich hoffe , dass es euch allen gut geht ."
we ' re in love .,wir sind verliebt .
tom is busy doing something .,tom ist mit irgend etwas beschäftigt .
tom took piano lessons when he was a kid .,tom nahm als kind klavierunterricht .
their apples aren ' t as good as ours .,deren äpfel schmecken nicht so gut wie unsere .
please wait here until i get back .,"warte hier bitte , bis ich wiederkomme !"
tom didn ' t need my help .,tom bedurfte meiner hilfe nicht .
tom never even tried to kiss me .,"tom unternahm noch nicht einmal den versuch , mich zu küssen ."
i just want to clarify that .,ich möchte das nur klarstellen .
tom called mary up and asked her what her schedule was .,"tom rief mary an und fragte sie , was wie vorhatte ."
you know too much .,ihr wisst zu viel .
do you feel up to it ?,trauen sie sich das zu ?
tom bought two tickets and a bag of popcorn .,tom kaufte zwei eintrittskarten und eine tüte popcorn .
tom ' s partner thought that they should also sell gourmet popcorn seasonings .,"toms partner meinte , dass auch gourmetwürzungen für popcorn in den verkauf genommen werden sollten ."
you have right of way .,sie haben vorrang .
"you might think that , but that ' s not how it is .",das könnte man denken . es ist aber nicht so .
i don ' t like speaking french .,ich spreche nicht gerne französisch .
tom is furious .,tom ist erbost .
isn ' t this blue ?,ist das nicht blau ?
you ' ll feel better after a good night ' s sleep .,nach einem ausreichenden schlaf wird es dir besser gehen .
are you going to tell tom what i did ?,"wirst du tom sagen , was ich getan habe ?"
i make the decisions here .,ich treffe die entscheidungen hier .
a fallen tree blocked the path .,ein umgefallener baum blockierte die durchfahrt .
please give me a couple of slices of bread .,geben sie mir bitte ein paar scheiben brot .
shouldn ' t we start work ?,sollten wir nicht mit der arbeit anfangen ?
he took the wrong bus by mistake .,er nahm aus versehen den falschen bus .
tom lives in a wealthy neighborhood .,tom wohnt in einer reichen gegend .
you should phone your mother as soon as you can .,du solltest so bald wie möglich deine mutter anrufen .
we associate darwin ' s name with the theory of evolution .,wir verbinden den namen von darwin mit der evolutionstheorie .
tom seldom gets sick .,tom wird selten krank .
we met last year .,wir haben uns letztes jahr kennengelernt .
what sort of jewelry are you going to wear with this dress ?,was für schmuck wirst du zu diesem kleid tragen ?
pandas are beautiful animals .,pandas sind schöne tiere .
did you speak french at home ?,hast du zu hause französisch gesprochen ?
tell me your plan .,"sag mir , was dein plan ist ."
tom is fairly good at french .,tom kann ziemlich gut französisch .
can you whistle ?,können sie pfeifen ?
act like you are dead .,stell dich tot !
do you like san francisco ?,gefällt euch san francisco ?
i didn ' t want you to tell tom that .,"ich wollte nicht , daß ihr tom das sagt ."
vote for me !,wählen sie mich !
maybe that ' s not such a good idea .,das ist vielleicht gar keine so gute idee .
couldn ' t you just do that later ?,könntest du das nicht einfach später tun ?
i don ' t have to be here .,ich muss nicht hier sein .
he has a long nose .,er hat eine lange nase .
i know you ' re not planning on staying in australia .,"ich weiß , daß du nicht vorhast , in australien zu bleiben ."
that ' s the reason i did that .,deswegen habe ich das getan .
"as long as you ' re here , why don ' t you help me ?","helft mir doch mal , wo ihr schon hier seid !"
the police caught the suicide bomber before he could detonate his bomb .,"die polizei fasste den selbstmordattentäter , bevor er seine bombe zünden konnte ."
he taught himself french .,er hat sich selbst französisch beigebracht .
you may come in now .,du kannst jetzt reinkommen .
can i call you back in twenty minutes ?,kann ich sie in zwanzig minuten zurückrufen ?
i don ' t have anything to do with that .,ich habe damit nichts zu tun .
we ' re very sorry about that .,das tut uns sehr leid .
you should let tom drive .,ihr solltet tom fahren lassen .
don ' t say stupid things like that anymore .,sag nicht mehr so dumme sachen !
i ' d like to know what it is .,"ich würde gerne wissen , was es ist ."
tom was here the other day .,tom war neulich hier .
anybody hurt ?,ist jemand verletzt ?
what ' s the average lifespan of a frog ?,wie hoch ist die durchschnittliche lebenserwartung eines frosches ?
what do you want to do now ?,was wollen sie jetzt machen ?
i helped everybody .,ich habe allen geholfen .
tom may do that without me .,tom kann das ohne mich machen .
my mother wants me to study in switzerland .,"meine mutter will , dass ich in der schweiz studiere ."
let ' s get drunk .,betrinken wir uns !
we ' ve got a little problem .,wir haben ein kleines problem .
i have a bottle of whiskey .,ich habe eine flasche whisky .
are you satisfied with the result ?,bist du mit dem ergebnis zufrieden ?
we have enough room for everyone .,wir haben genug platz für alle .
nothing can be produced out of nothing .,von nichts kommt nichts .
everyone except tom and mary have already gone home .,außer tom und maria sind bereits alle nach hause gegangen .
you can hide here for a few days .,sie können sich ein paar tage hier verstecken .
you give up much too easily .,du gibst viel zu schnell auf .
does your boyfriend speak french ?,spricht dein freund französisch ?
there were a hundred people in the hall .,es waren hundert leute im saal .
i like being part of this group .,ich gehöre gern zu dieser gruppe .
it ' s a thing of the past .,das ist vergangenheit .
tom adopted mary ' s idea .,tom übernahm marias idee .
you looked like you were delighted .,ihr wirktet entzückt .
aren ' t you allergic to peanuts ?,bist du nicht gegen erdnüsse allergisch ?
"tom always behaves himself well . however , mary does not .","tom beträgt sich immer gut , maria hingegen nicht ."
many people see that differently .,das sehen viele leute anders .
did you steal this from somebody ?,hast du das jemandem geklaut ?
what ' s tom going to say now ?,was wird tom jetzt sagen ?
tom put his glasses back on .,tom setzte seine brille wieder auf .
how long were you alone ?,wie lange wart ihr allein ?
tom disagreed .,tom war anderer meinung .
i can ' t stop you .,ich kann dich nicht zurückhalten .
let ' s just leave it at that .,lasst es uns dabei belassen .
i ' m afraid you ' ll have to learn to live with the pain .,"ich fürchte , du musst lernen , diesen schmerz zu ertragen ."
we ' ve run out of beer .,uns ist das bier ausgegangen .
didn ' t you know you weren ' t going to pass this class ?,"hast du nicht gewußt , daß du diesen kurs nicht schaffen würdest ?"
our baby isn ' t speaking yet .,unser kind spricht noch nicht .
what time will you get to the station ?,wann wirst du zum bahnhof gehen ?
we hurried to make up for lost time .,"wir beeilten uns , um die verlorene zeit aufzuholen ."
tom always had a lot of money .,tom hatte immer viel geld .
do you think tom is still afraid ?,"glaubst du , tom hat immer noch angst ?"
this orange is really delicious .,diese orange schmeckt wirklich gut .
the money we ' re giving you should last you for a while .,"mit dem geld , das wir euch geben , solltet ihr eine zeitlang auskommen ."
make sure that no one sees you .,"pass auf , dass dich niemand sieht !"
may i suggest another option ?,darf ich eine alternative vorschlagen ?
can you do that here ?,kannst du das hier machen ?
maybe we should talk about this somewhere else .,vielleicht sollten wir irgendwo anders darüber sprechen .
please tell me what you think .,"sag mir bitte , was du denkst !"
she was the first girl i ' d ever kissed .,"sie war das erste mädchen , das ich je geküsst hatte ."
he is commander of our troops .,er ist der befehlshaber unserer streitkräfte .
tom told me that he wanted to meet mary .,"tom erzählte mir , dass er mary treffen wollte ."
make sure you ' re here on time .,"sieh zu , dass du pünktlich hier bist !"
keep children away from the pond .,halten sie kinder vom teich fern .
can i help you ?,kann ich dir helfen ?
a policeman is outside .,draußen steht ein polizist .
that ' s basically what we want .,"das ist es , was wir im grunde möchten ."
i want to thank you for picking tom up after school .,"ich möchte dir danken , dass du tom von der schule abgeholt hast !"
are we getting dumber over time ?,verblöden wir mit der zeit ?
there ' s nothing like a good hot bath .,"es gibt nichts besseres als ein schönes , heißes bad ."
what ' s tom ' s social security number ?,welche sozialversicherungsnummer hat tom ?
i thought i was going to die .,"ich dachte , ich müsse sterben ."
do you know where tom found the diamond ?,"weißt du , wo tom den diamanten gefunden hat ?"
did you already know that ?,wusstet ihr das schon ?
what does your father do ?,was macht dein vater ?
tom saves over of what he earns .,"tom spart achtzig prozent von dem , was er verdient ."
tom has short hair now .,tom hat jetzt kurze haare .
tom didn ' t seem to be interested in what i was saying .,"tom schien sich für das , was ich sagte , nicht zu interessieren ."
he didn ' t say a word .,er sagte gar nichts .
i wasn ' t aware somebody was watching me .,"mir war nicht bewusst , dass jemand mich beobachtete ."
do you have any idea why tom is mad at me ?,"kannst du dir vorstellen , warum tom angefressen auf mich ist ?"
i kissed tom .,ich habe tom geküsst .
i read the great gatsby when i was in high school .,ich habe auf der oberschule der große gatsby gelesen .
why did tom not do that ?,warum hat tom das nicht getan ?
tom is not much older than i am .,tom ist nicht viel älter als ich .
you should prepare for the future .,sie sollten sich für die zukunft bereit machen .
what kind of food does tom like ?,was isst tom gern ?
would you have time to help me this afternoon ?,"hätten sie heute nachmittag zeit , mir zu helfen ?"
when did you wake up ?,wann bist du wach geworden ?
i won ' t dance .,ich werde nicht tanzen .
you ' ve been causing problems .,du hast probleme geschaffen .
who surrendered ?,wer hat sich ergeben ?
i always get nervous in her presence .,in ihrer gegenwart werde ich immer nervös .
who do you know in boston ?,wen kennen sie in boston ?
tom and i are facebook friends .,tom und ich sind facebook - freunde .
tom talked to himself as he washed the dishes .,tom sprach beim abwasch mit sich selbst .
tom can ' t stop it .,tom kann es nicht aufhalten .
i stay home alone while my parents are at work .,"ich bin allein zu hause , wenn meine eltern arbeiten ."
are you calling it a night ?,machst du schluss für heute ?
tom would accept .,tom würde einwilligen .
the road forks here .,hier gabelt sich die straße .
you ' re too young to get married .,"du bist zu jung , um zu heiraten ."
i know you ' re still not satisfied .,"ich weiß , daß du noch immer nicht zufrieden bist ."
let tom come .,lassen sie tom kommen .
